,latitud,longitud,property_rooms,property_surface_total,property_type_Departamento,property_type_PH
217638,-34.6159989,-58.4583173,3.0,76.0,1,0
75789,-34.6044871,-58.4943389,1.0,42.0,1,0
356767,-34.5563087,-58.449196,2.0,68.0,1,0
180513,-34.5642938527,-58.4401623303,3.0,110.0,1,0
397570,-34.577521,-58.422933,4.0,77.0,1,0
93243,-34.605038,-58.363609,2.0,55.0,1,0
315491,-34.5861291,-58.4026366,2.0,63.0,1,0
9498,-34.585065,-58.443704,1.0,29.0,1,0
69461,-34.6049892893,-58.4247263848,3.0,64.0,1,0
408451,-34.6089805,-58.4428893,3.0,84.0,1,0
247140,-34.6200358439,-58.4055519104,3.0,79.0,1,0
26272,-34.5802708,-58.4521742,2.0,55.0,1,0
306737,-34.5973837,-58.4051391,1.0,38.5,1,0
304015,-34.6419236,-58.5179848,4.0,219.0,0,0
347802,-34.5821500876,-58.468401432,3.0,94.0,1,0
110781,-34.5902935,-58.4188578,2.0,51.0,1,0
397508,-34.5797435,-58.4324434,3.0,83.0,1,0
10218,-34.569235,-58.489231,1.0,39.0,1,0
301577,-34.5553105163,-58.4424591064,5.0,106.0,1,0
238732,-34.6039745,-58.4956919,3.0,66.0,1,0
206089,-34.6030857,-58.4132198,3.0,59.0,1,0
234175,-34.6197378,-58.3741511,1.0,27.0,1,0
428889,-34.6166137446,-58.3869012429,3.0,153.0,1,0
275125,-34.6284086176,-58.4373411338,2.0,52.0,1,0
360287,-34.6061885,-58.4580073,3.0,76.0,1,0
83761,-34.639319,-58.5156985,3.0,66.0,1,0
425378,-34.555382,-58.469897,2.0,41.0,1,0
284606,-34.5929491,-58.393097,3.0,162.0,1,0
390210,-34.6116813,-58.4436118,1.0,39.0,1,0
37288,-34.5988449,-58.4451627,2.0,53.0,1,0
173889,-34.5781891707,-58.4246005095,3.0,61.0,1,0
2851,-34.59118375701022,-58.45197134184115,3.0,75.0,1,0
304377,-34.5931064,-58.4080635,2.0,58.0,1,0
398577,-34.590028,-58.39521,2.0,37.0,1,0
273841,-34.624836,-58.3828088,3.0,69.0,1,0
101101,-34.5920897793,-58.4104621411,1.0,34.0,1,0
149192,-34.5905033,-58.4088623,4.0,92.4,1,0
444367,-34.6004535,-58.4923283,3.0,83.0,1,0
211749,-34.629118,-58.4180565,5.0,202.0,0,0
426145,-34.585265,-58.419359,2.0,33.0,1,0
144219,-34.613451,-58.435819,2.0,48.0,1,0
93554,-34.6039544,-58.469154,3.0,71.0,1,0
239969,-34.5909845774,-58.4317088127,2.0,27.0,1,0
361750,-34.5814089,-58.4233646,1.0,52.2,1,0
298196,-34.5632208,-58.4925477,1.0,34.0,1,0
358645,-34.633889,-58.477802,4.0,78.0,1,0
370234,-34.5815611,-58.4032579,4.0,147.0,1,0
232988,-34.5795505,-58.4126831,3.0,42.0,1,0
204316,-34.5692432,-58.4875116,3.0,60.0,1,0
152620,-34.6628307,-58.511788,5.0,275.0,0,1
383708,-34.6208511,-58.4016473,3.0,59.0,0,1
397500,-34.585125,-58.421359,4.0,111.0,1,0
257172,-34.5901325,-58.3866498,4.0,144.0,1,0
339712,-34.5757665,-58.460085,2.0,42.0,1,0
178473,-34.5719594,-58.4789977,1.0,41.0,1,0
28843,-34.5651862,-58.4378119,2.0,47.0,1,0
139664,-34.5979611,-58.410186,2.0,66.0,1,0
29108,-34.6105881006,-58.4731650352,5.0,111.0,0,1
109102,-34.5741862,-58.5085367,4.0,78.0,1,0
399594,-34.6001479,-58.4315036,1.0,35.0,1,0
403617,-34.6030784,-58.5034086,4.0,190.0,0,1
296807,-34.5630622,-58.437875,4.0,180.0,1,0
201835,-34.5598733,-58.4492538,1.0,35.0,1,0
32073,-34.5543838,-58.4581578,3.0,73.0,1,0
30496,-34.5672815,-58.4858607,3.0,65.0,1,0
182419,-34.5728906,-58.4781853,1.0,34.0,1,0
180227,-34.5808009,-58.5054065,2.0,42.0,1,0
47019,-34.6170083,-58.4450927,3.0,82.0,1,0
430836,-34.5956287,-58.5080043,3.0,84.0,1,0
46416,-34.5872224,-58.4133896,2.0,70.0,1,0
411154,-34.543991,-58.46256,2.0,45.0,1,0
155571,-34.5734629,-58.4363613,2.0,63.0,1,0
448298,-34.6232131,-58.4193146,3.0,55.0,1,0
328266,-34.5763541,-58.4962171,3.0,51.0,1,0
195345,-34.5925237,-58.3989083,3.0,120.0,1,0
273504,-34.591684722823274,-58.45308731613564,3.0,65.0,1,0
207316,-34.5428793,-58.4809235,3.0,106.0,1,0
322892,-34.6454035,-58.3812839,4.0,178.0,1,0
377893,-34.5971477,-58.388984,4.0,141.0,1,0
48514,-34.6266164,-58.4716778,4.0,120.0,1,0
139018,-34.6270444,-58.4567628,2.0,49.0,1,0
420452,-34.5963995,-58.4224326,2.0,45.0,1,0
218546,-34.596876,-58.414144,3.0,70.0,1,0
361306,-34.6253667,-58.4653413,3.0,53.0,1,0
188879,-34.605978,-58.4021393,3.0,59.0,1,0
312578,-34.6216746,-58.3929639,3.0,62.0,1,0
165293,-34.6032562453,-58.4034750457,3.0,100.0,1,0
22648,-34.6402926,-58.4642356,3.0,77.0,1,0
238344,-34.568868,-58.4551,1.0,35.0,1,0
123293,-34.5912982,-58.4178204,1.0,25.0,1,0
61940,-34.6153579,-58.4127895,3.0,58.0,1,0
352452,-34.5981682,-58.4214207,2.0,47.0,1,0
233024,-34.597404,-58.423818,1.0,21.0,1,0
91950,-34.603645,-58.424119,2.0,46.0,1,0
243747,-34.59172659086403,-58.45315520882426,3.0,59.0,1,0
206790,-34.6118861,-58.4692688,3.0,43.0,1,0
401792,-34.5791739,-58.4543464,1.0,30.0,1,0
359985,-34.6014267,-58.4164926,2.0,45.0,1,0
66980,-34.6132158,-58.4303173,3.0,57.0,0,1
175870,-34.627504,-58.459097,5.0,101.0,1,0
398844,-34.6086793,-58.4482039,2.0,45.0,1,0
105382,-34.591420455132265,-58.4529723436039,3.0,87.9,1,0
258315,-34.6135583,-58.3620102,2.0,57.0,1,0
222061,-34.5636726,-58.48074,1.0,22.0,1,0
75731,-34.566702,-58.484661,4.0,131.0,0,1
423065,-34.5506408456,-58.4537241571,4.0,140.0,1,0
392496,-34.5797264,-58.4293644,1.0,48.0,1,0
149085,-34.6149441727,-58.4283844363,3.0,49.0,1,0
425394,-34.5397481,-58.4663806,3.0,113.0,1,0
42765,-34.621685,-58.506468,6.0,222.0,0,0
127871,-34.5867976029,-58.443665608,3.0,57.0,0,1
176341,-34.624845,-58.431635,2.0,55.0,1,0
303061,-34.612204,-58.435047,3.0,57.0,1,0
431950,-34.623628,-58.4996283,4.0,110.0,0,1
93205,-34.6264313,-58.3844448,2.0,32.0,1,0
60043,-34.59164966397415,-58.45307464781178,3.0,65.0,1,0
288914,-34.5837551,-58.4436967,1.0,35.0,1,0
329692,-34.582386401,-58.4319733778,3.0,78.0,1,0
138127,-34.5750597594,-58.4577864051,3.0,87.0,0,1
225425,-34.5946864,-58.5136,5.0,253.0,0,0
7769,-34.6214653,-58.3772963,2.0,48.0,1,0
428017,-34.5925237,-58.3989083,3.0,120.0,1,0
33239,-34.536488,-58.467405,5.0,95.0,1,0
213725,-34.5987724,-58.4116326,3.0,70.0,1,0
167277,-34.5648831,-58.4400727,3.0,59.0,1,0
372923,-34.6184575,-58.4398969,2.0,41.0,1,0
62408,-34.6058965,-58.5175654,2.0,39.0,1,0
397657,-34.5866549,-58.4107529,5.0,148.0,1,0
262696,-34.5797167,-58.4139543,4.0,142.0,1,0
338421,-34.5701595,-58.474699,5.0,214.0,0,1
392485,-34.5799988,-58.4299774,2.0,60.0,1,0
429769,-34.6173332,-58.521467,3.0,83.0,0,1
82549,-34.6313058,-58.4007781,4.0,106.0,1,0
431305,-34.5790175,-58.4881806,1.0,35.0,1,0
377950,-34.5449293,-58.4754197,3.0,107.0,0,1
13334,-34.5671062,-58.4326517,1.0,35.0,1,0
183838,-34.5726872,-58.4425958,3.0,49.0,1,0
446001,-34.611047,-58.416869,3.0,53.0,1,0
410060,-34.5756871,-58.4782346,2.0,70.0,0,1
328255,-34.6261133,-58.3971466,4.0,78.0,0,1
317958,-34.6042693,-58.4250063,1.0,53.0,1,0
372953,-34.6636091,-58.5128937,4.0,66.0,1,0
373924,-34.575863,-58.4376567,3.0,61.0,1,0
380158,-34.6322692058,-58.4003539865,3.0,77.0,1,0
98091,-34.6160145,-58.3618883,2.0,63.0,1,0
51858,-34.5697552,-58.4415898,4.0,128.0,1,0
154856,-34.5895246,-58.3949546,2.0,60.0,1,0
428053,-34.5861761,-58.4049286,3.0,60.0,1,0
22653,-34.624761,-58.4707318,4.0,138.0,1,0
238618,-34.6187052,-58.4993511,2.0,30.0,1,0
56279,-34.612204,-58.435047,3.0,57.0,1,0
120827,-34.6067384,-58.3894258,3.0,76.0,1,0
190581,-34.5581802,-58.4455417,5.0,277.0,1,0
266197,-34.5817617,-58.4413949,3.0,180.0,0,1
338774,-34.5621569,-58.4642301,7.0,118.0,0,0
34432,-34.593933,-58.391154,1.0,29.0,1,0
453079,-34.6292875,-58.3708398,2.0,32.0,1,0
92777,-34.6071899,-58.3949062,2.0,30.0,1,0
393338,-34.6023895,-58.4599885,5.0,217.0,0,1
97974,-34.592661,-58.3928413,6.0,257.0,1,0
371833,-34.627688,-58.435061,3.0,81.0,0,1
267024,-34.6006877,-58.5143934,1.0,31.0,1,0
298893,-34.5865626,-58.4124742,3.0,91.0,1,0
238924,-34.591548,-58.498228,3.0,115.0,0,1
204213,-34.5905613,-58.4750224,1.0,34.0,1,0
257105,-34.5940368,-58.3944851,5.0,210.0,1,0
438618,-34.577928,-58.437974,2.0,75.0,1,0
317304,-34.611154,-58.526008,4.0,118.0,0,1
326163,-34.5878737994,-58.3966469765,2.0,50.0,1,0
254561,-34.6033344,-58.3938869,2.0,36.0,1,0
70277,-34.6149843,-58.3789755,1.0,34.7,1,0
7689,-34.5920723,-58.396149,3.0,72.0,1,0
70611,-34.6054,-58.512197,4.0,108.0,1,0
223156,-34.589601416,-58.4061683692,3.0,85.0,1,0
44155,-34.6567755,-58.5118905,3.0,50.0,1,0
250571,-34.621974,-58.427085,2.0,53.0,1,0
402180,-34.6365223,-58.5003298,2.0,72.0,0,1
411687,-34.6051817,-58.4526747,2.0,49.0,1,0
166424,-34.63718,-58.441999,3.0,237.0,0,0
17061,-34.6086162,-58.4031766,4.0,86.0,1,0
365520,-34.5749868,-58.4206108,2.0,150.0,1,0
335034,-34.5845083,-58.4694105,4.0,220.0,0,1
92021,-34.5876219,-58.4156639,1.0,44.4,1,0
339722,-34.556673,-58.4490399,1.0,36.0,1,0
85409,-34.5801338,-58.4318753,2.0,55.0,1,0
244497,-34.5402404468,-58.4734704144,2.0,69.5,1,0
17251,-34.5654883,-58.4860519,1.0,36.0,1,0
254133,-34.54209,-58.466588,2.0,50.0,1,0
425481,-34.5840095,-58.3707425,1.0,47.0,1,0
92022,-34.5753600633,-58.4232996712,2.0,50.0,1,0
85162,-34.5570413,-58.4764399,4.0,120.0,0,1
332296,-34.5779849,-58.4063337,3.0,75.0,1,0
216633,-34.5699758,-58.477266,2.0,57.0,1,0
138104,-34.6282618,-58.3760373,3.0,95.0,0,1
117840,-34.5540499,-58.4918149,1.0,43.0,1,0
178355,-34.5931982,-58.4017281,3.0,60.0,1,0
259180,-34.570136507,-58.4422146441,2.0,44.0,1,0
97740,-34.5936499,-58.3797484,2.0,38.0,1,0
105292,-34.5687573,-58.4468129,1.0,36.0,1,0
296916,-34.5463201,-58.4828327,3.0,99.5,1,0
202727,-34.621651,-58.457619,1.0,24.0,1,0
84122,-34.6170922,-58.4011984,2.0,44.0,1,0
273578,-34.5878017,-58.3998948,3.0,83.0,1,0
168560,-34.572148,-58.4458681,3.0,74.0,1,0
