,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,cp_5
4725,4.0,3.0,95.0,90.0,1.5104157123275894,-0.3984988261991152
4726,2.0,1.0,35.9,32.0,-1.896758400620589,-0.16276604040269038
4727,4.0,3.0,218.0,160.0,4.161730467277781,1.139264885344434
4728,2.0,1.0,30.0,30.0,-1.9897608602009553,0.24760213162240052
4729,1.0,2.0,49.0,45.0,-1.2926109751427095,0.1077352015349197
4730,2.0,1.0,69.0,59.0,-0.30633827919507783,-0.7311622084281291
4731,4.0,3.0,122.8,91.0,2.176514270819896,-0.07852998085388221
4732,2.0,1.0,78.0,63.0,-0.9643557350358096,0.5047944829447246
4733,3.0,2.0,74.0,67.0,0.24005049138623674,-0.22980540968751584
4734,3.0,2.0,102.9,79.0,0.7971008994278561,-0.1619166923708156
4735,3.0,2.0,74.0,64.0,0.2127732779922662,-0.185727603880724
4736,2.0,1.0,66.0,33.0,-1.4628641291492668,0.07556920456441106
4737,3.0,2.0,42.0,42.0,-0.5890822196074004,-0.35988081425911267
4738,3.0,2.0,49.0,49.0,-0.5758268239331927,-0.012685262168547574
4739,3.0,2.0,79.0,75.0,0.37975380149892984,0.11689089166723451
4740,1.0,1.0,33.0,29.0,-2.2639993167477512,0.15152557412067147
4741,3.0,2.0,73.0,60.6,0.027969533442721597,0.10017635847702276
4742,2.0,1.0,40.0,35.0,-1.6919408453675147,-0.19445663076882827
4743,2.0,1.0,73.0,50.0,-0.9001758514260078,0.17141869972329413
4744,3.0,2.0,54.0,50.0,-0.2579832460332538,-0.2467755985298359
4745,2.0,1.0,53.0,51.0,-1.3190244289064226,0.389581685738323
4746,2.0,1.0,40.0,40.0,-1.5865464053255265,-0.323135217706063
4747,1.0,1.0,37.0,32.0,-2.039136165242807,0.04866492256381431
4748,3.0,2.0,142.0,131.0,3.448776632503269,-1.5841179609517237
4749,4.0,3.0,117.0,112.0,2.135237228592859,0.39540324845390346
4750,5.0,3.0,200.0,200.0,4.675002357613668,1.0196771469058556
4751,2.0,2.0,119.0,56.0,-0.10726060022086341,0.08307051294541816
4752,4.0,4.0,160.0,150.0,4.532487154332326,-0.6251986238468176
4753,3.0,2.0,42.0,42.0,-0.8254397964066537,0.17116484172767021
4754,3.0,2.0,129.0,107.0,2.335510507404127,-0.8362307693826248
4755,2.0,1.0,41.0,36.0,-1.6946837126828984,-0.0428650063356548
4756,4.0,2.0,101.0,69.0,0.8985923477392064,-0.026577749628566058
4757,2.0,1.0,49.0,43.0,-1.4347821742209899,0.3384875173138713
4758,2.0,1.0,46.0,40.0,-1.5566666068500794,0.13005112000870372
4759,2.0,1.0,60.0,60.0,-0.9926549844651061,0.33890969401809223
4760,2.0,1.0,43.0,32.0,-1.6108764695785363,-0.06239352163872738
4761,1.0,1.0,53.6,36.0,-1.9651424198798804,0.7113654611130431
4762,4.0,3.0,65.0,65.0,0.5196323109786877,-0.628380470310603
4763,3.0,2.0,75.0,61.0,-0.0645298780409928,0.11013269701234286
4764,3.0,2.0,75.0,63.1,0.40657602703656026,-0.4144657247341362
4765,2.0,1.0,44.0,38.0,-1.5284607826520678,0.10621815493754826
4766,5.0,4.0,141.0,133.0,4.12749933060956,-0.42286814507195936
4767,3.0,2.0,80.0,80.0,0.49198890345643487,0.14669964244840247
4768,3.0,2.0,59.0,55.0,-0.42943492555813584,0.038548142842462586
4769,3.0,2.0,72.0,65.0,0.09362766129385976,0.007768722823185877
4770,1.0,1.0,55.0,45.0,-1.3235467432130736,-0.21877111452376316
4771,2.0,1.0,41.0,39.0,-1.6599890337553045,0.10212425643859926
4772,3.0,2.0,55.0,52.0,-0.23046009013740912,-0.2901700168324179
4773,3.0,2.0,56.0,50.0,-0.31666942970529444,0.02886180880183079
4774,3.0,2.0,112.0,107.0,1.34474531822571,0.36497989605216563
4775,6.0,4.0,230.0,143.0,4.9023135517412495,1.0428416122852837
4776,2.0,1.0,56.0,50.0,-1.1189800589405259,-0.11301989672652128
4777,3.0,2.0,78.0,75.0,0.26581854617648537,0.2339730430780754
4778,3.0,2.0,62.0,62.0,-0.2615410351711512,0.1041736056383484
4779,2.0,1.0,34.0,34.0,-1.7807155408306896,-0.05442510471372518
4780,3.0,2.0,61.0,57.0,-0.35055401394210184,0.166511677134359
4781,3.0,2.0,75.0,65.0,-0.01692870420508337,0.19993830219136474
4782,1.0,1.0,33.0,30.0,-2.2478599562716495,0.13158537327576778
4783,2.0,1.0,49.0,43.0,-1.4289714849977326,-0.16241420456242914
4784,3.0,2.0,60.0,60.0,-0.19442051544336772,-0.007566654013972675
4785,1.0,1.0,31.0,28.0,-2.3218638707453123,0.06377225354168185
4786,2.0,1.0,58.0,49.0,-1.2475755043361556,0.131854350501014
4787,1.0,1.0,87.0,87.0,0.3859020666748381,-1.1247622154972865
4788,4.0,3.0,115.0,107.0,2.1120122841466062,-0.23033551515288864
4789,2.0,1.0,45.0,42.0,-1.5271463825950113,0.11295746549887044
4790,4.0,3.0,73.0,73.0,1.3035371414599963,-0.49545908155296203
4791,3.0,2.0,75.0,63.0,0.16073926799309873,-0.11062341022107679
4792,3.0,2.0,83.0,75.0,0.35990245627352285,0.2958463276614503
4793,2.0,1.0,68.0,40.0,-1.1846856731605042,-0.3089050163817759
4794,3.0,2.0,160.8,91.0,2.4999631521852352,-0.745500807737057
4795,2.0,1.0,49.0,49.0,-1.3329883498811206,-0.3047455334063769
4796,1.0,1.0,33.0,31.0,-2.256833279448378,0.1764576277359665
4797,2.0,1.0,50.0,48.0,-1.4046258585342741,0.08433270538509485
4798,4.0,3.0,129.0,106.0,2.9822497409132986,-1.2437288668902537
4799,3.0,2.0,65.0,62.0,-0.0462706036232909,-0.4422810219541618
4800,1.0,1.0,36.0,33.0,-2.2068440988520064,-0.3154844980356854
4801,3.0,2.0,121.7,87.0,1.1917581723593078,0.3287607042102382
4802,3.0,2.0,45.0,45.0,-0.5376800231582028,-0.2413252489489558
4803,3.0,2.0,83.0,72.0,0.344532982056507,0.07245299521854216
4804,3.0,2.0,57.0,57.0,-0.26148347159292284,0.08998697067435386
4805,3.0,2.0,61.0,54.0,-0.3099041453114114,-0.11362560025648642
4806,2.0,1.0,41.0,41.0,-1.6983614457360858,0.2766230268538595
